"SubDistrictDept","SoftPakCompanyID","LOB","LandfillDescription","Date","ActTons"
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/1/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/1/2015",0.352248
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",12.86
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",14.2
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",19.92
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",10.92
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/2/2015",12
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/2/2015",13.53
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/2/2015",17.32
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/2/2015",0.9
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/2/2015",1.87
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/2/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/2/2015",6.17
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/2/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/2/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/2/2015",0.572403
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/2/2015",1.019487
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/2/2015",1.176418
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/2/2015",3.19
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",28.2
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",13.55
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",8.8
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",13.36
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",10.19
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/3/2015",6.15
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/3/2015",5.46
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/3/2015",11.68
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/3/2015",5.2
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/3/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/3/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/3/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/3/2015",0.592725
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/3/2015",4.81
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/4/2015",10.4
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/4/2015",10.68
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/4/2015",10.66
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/5/2015",11.51
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/5/2015",5.36
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",26.62
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",25.79
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",17.53
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",12.86
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",9.89
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",4.33
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/6/2015",16.08
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",6.09
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",15.22
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",10.3
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",1.67
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",1.41
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/6/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/6/2015",3.28
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/6/2015",3.71
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/6/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/6/2015",0.391763
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/6/2015",10.49
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",17.12
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",12.75
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",6.67
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",8.83
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",16.56
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",21.48
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/7/2015",15.32
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/7/2015",13.23
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/7/2015",11.94
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/7/2015",0.430149
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/7/2015",0.427891
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/7/2015",0.449342
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/7/2015",3.66
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",22
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",12.38
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",10.76
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",9.84
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",11.88
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/8/2015",10.26
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/8/2015",7.03
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/8/2015",12.86
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/8/2015",0.27
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/8/2015",10.07
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/8/2015",1.74
"BUTLER",41,"NON COMM ROLL OFF        ","BAVARIAN LANDFILL        ","7/8/2015",1.7
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/8/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/8/2015",0.396279
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/8/2015",0.360151
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/8/2015",3.53
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",12.73
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",17.31
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",13.08
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",14.38
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",13.03
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/9/2015",17.01
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",7.33
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",12.79
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",3.19
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/9/2015",7.11
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",3.12
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/9/2015",0.77
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/9/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/9/2015",0.554339
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/9/2015",0.99352
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/9/2015",0.950618
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/9/2015",3.08
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/10/2015",24.02
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/10/2015",22.12
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/10/2015",16.66
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/10/2015",13.82
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/10/2015",10.51
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/10/2015",7.29
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/10/2015",10.36
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/10/2015",5.88
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/10/2015",2.82
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/10/2015",10.37
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/10/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/10/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/10/2015",5.12
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/10/2015",0.416601
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/10/2015",0.528372
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/10/2015",6.19
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/11/2015",14.34
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/11/2015",12.77
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/11/2015",9.81
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/12/2015",8.51
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/12/2015",8.76
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/13/2015",12.66
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/13/2015",29.33
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/13/2015",17.82
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/13/2015",15.38
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/13/2015",18.49
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/13/2015",11.15
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/13/2015",9.87
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/13/2015",13.8
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/13/2015",10.12
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/13/2015",2.42
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/13/2015",2.09
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/13/2015",3.24
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/13/2015",0.48
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/13/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/13/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/13/2015",1.79
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/13/2015",0.374828
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/13/2015",7.19
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/14/2015",24.88
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/14/2015",15.57
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/14/2015",24.08
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/14/2015",15.64
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/14/2015",14.3
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/14/2015",12.95
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/14/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/14/2015",14.27
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/14/2015",6.72
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/14/2015",4.08
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/14/2015",15.69
"BUTLER",41,"NON COMM ROLL OFF        ","RECYCLE EXPRESS          ","7/14/2015",1.79
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/14/2015",0.540791
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/14/2015",0.942715
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/14/2015",0.610789
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/14/2015",3.38
"BUTLER",41,"FRONT LOAD","BAVARIAN LANDFILL        ","7/15/2015",21.32
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/15/2015",20.32
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/15/2015",19.51
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/15/2015",15.24
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/15/2015",10.61
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/15/2015",13.24
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/15/2015",10.67
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/15/2015",13.99
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/15/2015",7.84
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/15/2015",0.4
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/15/2015",2.47
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/15/2015",1.89
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/15/2015",0.326281
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/15/2015",0.592725
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/15/2015",2.55
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/16/2015",18.24
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/16/2015",16
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/16/2015",15.64
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/16/2015",14.38
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL","7/16/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/16/2015",7.21
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/16/2015",4.3
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/16/2015",9.69
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/16/2015",3.22
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/16/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/16/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/16/2015",0.424504
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/16/2015",1.124484
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/16/2015",1.317543
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/16/2015",2.77
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/17/2015",26.21
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/17/2015",33.24
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/17/2015",15.95
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL","7/17/2015",0
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/17/2015",14.46
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL","7/17/2015",0
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/17/2015",20.7
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/17/2015",5.88
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/17/2015",11.31
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/17/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/17/2015",11.43
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/17/2015",0.452729
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/17/2015",5.88
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/18/2015",7.49
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/18/2015",8.63
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/18/2015",9.15
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/19/2015",11.82
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/19/2015",11.6
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/20/2015",28.44
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/20/2015",25.07
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/20/2015",15.6
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/20/2015",10.86
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/20/2015",11.64
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/20/2015",4.56
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/20/2015",14.78
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/20/2015",10.32
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/20/2015",2.34
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/20/2015",1.95
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/20/2015",3.32
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/20/2015",1.3
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/20/2015",0.604015
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/20/2015",8.9
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/21/2015",10.54
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/21/2015",28.3
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/21/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/21/2015",13.24
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/21/2015",12.22
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/21/2015",19.11
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/21/2015",5.2
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/21/2015",2.32
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/21/2015",2.41
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/21/2015",10.59
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/21/2015",0.454987
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/21/2015",0.286766
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/21/2015",0.732721
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/21/2015",2.8
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",14.6
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",14.05
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",13.72
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",10.82
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",9.45
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",8.7
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",5.76
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/22/2015",3.33
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/22/2015",8.75
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/22/2015",13.87
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/22/2015",9
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/22/2015",4.19
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/22/2015",12.25
"BUTLER",41,"NON COMM ROLL OFF        ","REPUBLIC COVINGTON TRANSF","7/22/2015",0.22
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/22/2015",2.76
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/22/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/22/2015",10.35
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/22/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/22/2015",0.365796
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/22/2015",1.257706
"ST BERNARD",6,"REAR LOAD","Landfill Diversion","7/22/2015",2.5
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",12.93
"BUTLER",41,"FRONT LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",26.32
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",22.08
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",13.48
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",16.46
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",9.57
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",12.53
"BUTLER",41,"REAR LOAD","RUMPKE BUTLER LANDFILL   ","7/23/2015",14.25
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/23/2015",8.07
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/23/2015",11.63
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL   ","7/23/2015",3.17
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/23/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/23/2015",0
"BUTLER",41,"NON COMM ROLL OFF        ","RUMPKE BUTLER LANDFILL","7/23/2015",0
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/23/2015",0.434665
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/23/2015",0.747398
"BUTLER",41,"FRONT LOAD","Landfill Diversion","7/23/2015",0.659336
